bbl loader

 FFT 1024
X[462] -> REAL: -432.838 , IMG: 591.162 
X[463] -> REAL: -434.446 , IMG: 589.554 
X[464] -> REAL: -436.052 , IMG: 587.948 
X[465] -> REAL: -437.657 , IMG: 586.343 
X[466] -> REAL: -439.260 , IMG: 584.740 
X[467] -> REAL: -440.862 , IMG: 583.138 
X[468] -> REAL: -442.462 , IMG: 581.538 
X[469] -> REAL: -444.061 , IMG: 579.939 
X[470] -> REAL: -445.659 , IMG: 578.341 
X[471] -> REAL: -447.256 , IMG: 576.744 
X[472] -> REAL: -448.851 , IMG: 575.149 
X[473] -> REAL: -450.445 , IMG: 573.555 
X[474] -> REAL: -452.038 , IMG: 571.962 
X[475] -> REAL: -453.630 , IMG: 570.370 
X[476] -> REAL: -455.220 , IMG: 568.780 
X[477] -> REAL: -456.810 , IMG: 567.190 
X[478] -> REAL: -458.398 , IMG: 565.602 
X[479] -> REAL: -459.986 , IMG: 564.014 
X[480] -> REAL: -461.572 , IMG: 562.428 
X[481] -> REAL: -463.158 , IMG: 560.842 
X[482] -> REAL: -464.743 , IMG: 559.257 
X[483] -> REAL: -466.326 , IMG: 557.674 
X[484] -> REAL: -467.909 , IMG: 556.091 
X[485] -> REAL: -469.491 , IMG: 554.509 
X[486] -> REAL: -471.072 , IMG: 552.928 
X[487] -> REAL: -472.653 , IMG: 551.347 
X[488] -> REAL: -474.233 , IMG: 549.767 
X[489] -> REAL: -475.812 , IMG: 548.188 
X[490] -> REAL: -477.390 , IMG: 546.610 
X[491] -> REAL: -478.968 , IMG: 545.032 
X[492] -> REAL: -480.545 , IMG: 543.455 
X[493] -> REAL: -482.121 , IMG: 541.879 
X[494] -> REAL: -483.697 , IMG: 540.303 
X[495] -> REAL: -485.272 , IMG: 538.728 
X[496] -> REAL: -486.847 , IMG: 537.153 
X[497] -> REAL: -488.421 , IMG: 535.579 
X[498] -> REAL: -489.995 , IMG: 534.005 
X[499] -> REAL: -491.569 , IMG: 532.431 
X[500] -> REAL: -493.142 , IMG: 530.858 
X[501] -> REAL: -494.715 , IMG: 529.285 
X[502] -> REAL: -496.287 , IMG: 527.713 
X[503] -> REAL: -497.859 , IMG: 526.141 
X[504] -> REAL: -499.431 , IMG: 524.569 
X[505] -> REAL: -501.003 , IMG: 522.997 
X[506] -> REAL: -502.574 , IMG: 521.426 
X[507] -> REAL: -504.145 , IMG: 519.855 
X[508] -> REAL: -505.716 , IMG: 518.284 
X[509] -> REAL: -507.287 , IMG: 516.713 
X[510] -> REAL: -508.858 , IMG: 515.142 
X[511] -> REAL: -510.429 , IMG: 513.571 
X[512] -> REAL: -512.000 , IMG: 512.000 
X[513] -> REAL: -513.571 , IMG: 510.429 
X[514] -> REAL: -515.142 , IMG: 508.858 
X[515] -> REAL: -516.713 , IMG: 507.287 
X[516] -> REAL: -518.284 , IMG: 505.716 
X[517] -> REAL: -519.855 , IMG: 504.145 
X[518] -> REAL: -521.426 , IMG: 502.574 
X[519] -> REAL: -522.997 , IMG: 501.003 
X[520] -> REAL: -524.569 , IMG: 499.431 
