bbl loader

 FFT 1024
X[395] -> REAL: 0.000 , IMG: 0.000 
X[396] -> REAL: -321.684 , IMG: 702.316 
X[397] -> REAL: 0.000 , IMG: 0.000 
X[398] -> REAL: 1422.000 , IMG: 628.000 
X[399] -> REAL: 0.000 , IMG: 0.000 
X[400] -> REAL: -328.803 , IMG: 695.197 
X[401] -> REAL: 0.000 , IMG: 0.000 
X[402] -> REAL: 1102.000 , IMG: 948.000 
X[403] -> REAL: 0.000 , IMG: 0.000 
X[404] -> REAL: -335.860 , IMG: 688.140 
X[405] -> REAL: 0.000 , IMG: 0.000 
X[406] -> REAL: 1358.000 , IMG: 692.000 
X[407] -> REAL: 0.000 , IMG: 0.000 
X[408] -> REAL: -342.858 , IMG: 681.142 
X[409] -> REAL: 0.000 , IMG: 0.000 
X[410] -> REAL: 1230.000 , IMG: 820.000 
X[411] -> REAL: 0.000 , IMG: 0.000 
X[412] -> REAL: -349.799 , IMG: 674.201 
X[413] -> REAL: 0.000 , IMG: 0.000 
X[414] -> REAL: 1486.000 , IMG: 564.000 
X[415] -> REAL: 0.000 , IMG: 0.000 
X[416] -> REAL: -356.686 , IMG: 667.314 
X[417] -> REAL: 0.000 , IMG: 0.000 
X[418] -> REAL: 1070.000 , IMG: 980.000 
X[419] -> REAL: 0.000 , IMG: 0.000 
X[420] -> REAL: -363.523 , IMG: 660.477 
X[421] -> REAL: 0.000 , IMG: 0.000 
X[422] -> REAL: 1326.000 , IMG: 724.000 
X[423] -> REAL: 0.000 , IMG: 0.000 
X[424] -> REAL: -370.311 , IMG: 653.689 
X[425] -> REAL: 0.000 , IMG: 0.000 
X[426] -> REAL: 1198.000 , IMG: 852.000 
X[427] -> REAL: 0.000 , IMG: 0.000 
X[428] -> REAL: -377.052 , IMG: 646.948 
X[429] -> REAL: 0.000 , IMG: 0.000 
X[430] -> REAL: 1454.000 , IMG: 596.000 
X[431] -> REAL: 0.000 , IMG: 0.000 
X[432] -> REAL: -383.751 , IMG: 640.249 
X[433] -> REAL: 0.000 , IMG: 0.000 
X[434] -> REAL: 1134.000 , IMG: 916.000 
X[435] -> REAL: 0.000 , IMG: 0.000 
X[436] -> REAL: -390.408 , IMG: 633.592 
X[437] -> REAL: 0.000 , IMG: 0.000 
X[438] -> REAL: 1390.000 , IMG: 660.000 
X[439] -> REAL: 0.000 , IMG: 0.000 
X[440] -> REAL: -397.027 , IMG: 626.973 
X[441] -> REAL: 0.000 , IMG: 0.000 
X[442] -> REAL: 1262.000 , IMG: 788.000 
X[443] -> REAL: 0.000 , IMG: 0.000 
X[444] -> REAL: -403.609 , IMG: 620.391 
X[445] -> REAL: 0.000 , IMG: 0.000 
X[446] -> REAL: 1518.000 , IMG: 532.000 
X[447] -> REAL: 0.000 , IMG: 0.000 
X[448] -> REAL: -410.157 , IMG: 613.843 
X[449] -> REAL: 0.000 , IMG: 0.000 
X[450] -> REAL: 1054.000 , IMG: 996.000 
X[451] -> REAL: 0.000 , IMG: 0.000 
X[452] -> REAL: -416.673 , IMG: 607.327 
X[453] -> REAL: 0.000 , IMG: 0.000 
X[454] -> REAL: 1310.000 , IMG: 740.000 
X[455] -> REAL: 0.000 , IMG: 0.000 
X[456] -> REAL: -423.160 , IMG: 600.840 
X[457] -> REAL: 0.000 , IMG: 0.000 
X[458] -> REAL: 1182.000 , IMG: 868.000 
X[459] -> REAL: 0.000 , IMG: 0.000 
X[460] -> REAL: -429.619 , IMG: 594.381 
X[461] -> REAL: 0.000 , IMG: 0.000 
X[462] -> REAL: 1438.000 , IMG: 612.000 
X[463] -> REAL: 0.000 , IMG: 0.000 
X[464] -> REAL: -436.052 , IMG: 587.948 
X[465] -> REAL: 0.000 , IMG: 0.000 
X[466] -> REAL: 1118.000 , IMG: 932.000 
X[467] -> REAL: 0.000 , IMG: 0.000 
X[468] -> REAL: -442.462 , IMG: 581.538 
X[469] -> REAL: 0.000 , IMG: 0.000 
X[470] -> REAL: 1374.000 , IMG: 676.000 
X[471] -> REAL: 0.000 , IMG: 0.000 
X[472] -> REAL: -448.851 , IMG: 575.149 
X[473] -> REAL: 0.000 , IMG: 0.000 
X[474] -> REAL: 1246.000 , IMG: 804.000 
X[475] -> REAL: 0.000 , IMG: 0.000 
X[476] -> REAL: -455.220 , IMG: 568.780 
X[477] -> REAL: 0.000 , IMG: 0.000 
X[478] -> REAL: 1502.000 , IMG: 548.000 
X[479] -> REAL: 0.000 , IMG: 0.000 
X[480] -> REAL: -461.572 , IMG: 562.428 
X[481] -> REAL: 0.000 , IMG: 0.000 
X[482] -> REAL: 1086.000 , IMG: 964.000 
X[483] -> REAL: 0.000 , IMG: 0.000 
X[484] -> REAL: -467.909 , IMG: 556.091 
X[485] -> REAL: 0.000 , IMG: 0.000 
X[486] -> REAL: 1342.000 , IMG: 708.000 
X[487] -> REAL: 0.000 , IMG: 0.000 
X[488] -> REAL: -474.233 , IMG: 549.767 
X[489] -> REAL: 0.000 , IMG: 0.000 
X[490] -> REAL: 1214.000 , IMG: 836.000 
X[491] -> REAL: 0.000 , IMG: 0.000 
X[492] -> REAL: -480.545 , IMG: 543.455 
X[493] -> REAL: 0.000 , IMG: 0.000 
X[494] -> REAL: 1470.000 , IMG: 580.000 
X[495] -> REAL: 0.000 , IMG: 0.000 
X[496] -> REAL: -486.847 , IMG: 537.153 
